Initial_Weights,Final_Weights,Runtime_Before,Runtime_After,Fidelity
"[1.0, -2.3712405129655945e-06, -1.6560340709972598e-07]","[1.0, 2.3712405129655945e-06, -1.6560340709972598e-07]",0.7853981746231206,0.7853981746231206,1.0
"[1.0, 4.227894604123888, 4.2278708639953315]","[1.0, -4.227894604123888, 4.2278708639953315]",1.0471976052613492,1.0471976052613492,1.0
"[1.0, 2.0916504914527674, 2.0916518974342933]","[1.0, -2.0916504914527674, 2.0916518974342933]",1.047197221244129,1.047197221244129,1.0
"[1.0, 2.091646427600161, 2.0916508183940046]","[1.0, -2.091646427600161, 2.0916508183940046]",1.0471978261149972,1.0471978261149972,1.0
"[1.0, 1.8050194116146385e-06, -2.627935618931921e-07]","[1.0, -1.8050194116146385e-06, -2.627935618931921e-07]",0.7853980935757228,0.7853980935757228,1.0
"[1.0, -1.2447682495408058e-06, 1.2851314221040925e-07]","[1.0, 1.2447682495408058e-06, 1.2851314221040925e-07]",0.785398451820425,0.785398451820425,1.0
"[1.0, 3.5178195270160675, 3.51780347526475]","[1.0, -3.5178195270160675, 3.51780347526475]",3.141592732722807,3.141592732722807,1.0
"[1.0, -1.8848506103684792e-06, 5.609759421089525e-07]","[1.0, 1.8848506103684792e-06, 5.609759421089525e-07]",0.7853981354274163,0.7853981354274163,1.0
"[1.0, 2.091647603070719, 2.091650822524275]","[1.0, -2.091647603070719, 2.091650822524275]",1.047196924186893,1.047196924186893,1.0
"[1.0, 6.354103832062821, 6.354159432824193]","[1.0, -6.354103832062821, 6.354159432824193]",1.047197584875785,1.047197584875785,1.0
"[1.0, 4.227894358428255, 4.227870601304786]","[1.0, -4.227894358428255, 4.227870601304786]",1.0471976625179478,1.0471976625179478,1.0
"[1.0, 2.091653737022815, 2.091649738292731]","[1.0, -2.091653737022815, 2.091649738292731]",1.0471974249970715,1.0471974249970715,1.0
"[1.0, 1.3820881869435811e-06, -7.925934208146175e-07]","[1.0, -1.3820881869435811e-06, -7.925934208146175e-07]",0.785398133375482,0.785398133375482,1.0
"[1.0, 2.0916465686156593, 2.091650595017275]","[1.0, -2.0916465686156593, 2.091650595017275]",1.0471978838472253,1.0471978838472253,1.0
"[1.0, 2.0916537139474176, 2.091649441588594]","[1.0, -2.0916537139474176, 2.091649441588594]",1.0471972031902619,1.0471972031902619,1.0
"[1.0, -2.213296695067006e-06, -1.8272227738311976e-07]","[1.0, 2.213296695067006e-06, -1.8272227738311976e-07]",0.7853981421521815,0.7853981421521815,1.0
"[1.0, -1.5446085110341702e-06, -7.273034045232347e-07]","[1.0, 1.5446085110341702e-06, -7.273034045232347e-07]",0.7853980347461661,0.7853980347461661,1.0
"[1.0, 2.8062481729441497, 2.8062385387190467]","[1.0, -2.8062481729441497, 2.8062385387190467]",3.1415925582753452,3.1415925582753452,1.0
"[1.0, -1.801470332098836e-06, 3.098102027288818e-07]","[1.0, 1.801470332098836e-06, 3.098102027288818e-07]",0.7853980008125117,0.7853980008125117,1.0
"[1.0, 2.091653745260473, 2.091649447053608]","[1.0, -2.091653745260473, 2.091649447053608]",1.0471972001206378,1.0471972001206378,1.0
"[1.0, 4.2278727436079935, 4.227896567879388]","[1.0, -4.2278727436079935, 4.227896567879388]",1.0471974689911745,1.0471974689911745,1.0
"[1.0, 2.091652520790587, 2.09164901035892]","[1.0, -2.091652520790587, 2.09164901035892]",1.047197628926876,1.047197628926876,1.0
"[1.0, 2.091646978450801, 2.091650757210853]","[1.0, -2.091646978450801, 2.091650757210853]",1.0471977883677954,1.0471977883677954,1.0
"[1.0, 3.517804097863254, 3.517820172580133]","[1.0, -3.517804097863254, 3.517820172580133]",3.1415925772944817,3.1415925772944817,1.0
"[1.0, 2.091646536781899, 2.091650928226967]","[1.0, -2.091646536781899, 2.091650928226967]",1.0471978516200875,1.0471978516200875,1.0
"[1.0, 2.0916466357349193, 2.0916507437967304]","[1.0, -2.0916466357349193, 2.0916507437967304]",1.0471977946701307,1.0471977946701307,1.0
"[1.0, 3.5178195148023295, 3.5178035092298523]","[1.0, -3.5178195148023295, 3.5178035092298523]",3.141592724733009,3.141592724733009,1.0
"[1.0, 4.227894537611313, 4.227870834668675]","[1.0, -4.227894537611313, 4.227870834668675]",1.0471976162924022,1.0471976162924022,1.0
"[1.0, 2.0866024504452393e-06, -1.67577879214038e-16]","[1.0, -2.0866024504452393e-06, -1.67577879214038e-16]",5.49778719435139,5.49778719435139,1.0
"[1.0, 2.091653565196715, 2.091649360940604]","[1.0, -2.091653565196715, 2.091649360940604]",1.0471972561735021,1.0471972561735021,1.0
"[1.0, 2.0916535997652472, 2.09164953709433]","[1.0, -2.0916535997652472, 2.09164953709433]",1.0471972542171313,1.0471972542171313,1.0
"[1.0, 2.0916483871492173, 2.0916522112329456]","[1.0, -2.0916483871492173, 2.0916522112329456]",1.0471972857472922,1.0471972857472922,1.0
"[1.0, 2.091646400639374, 2.0916506827855845]","[1.0, -2.091646400639374, 2.0916506827855845]",1.0471979043872974,1.0471979043872974,1.0
"[1.0, 4.227894415884072, 4.227870715940082]","[1.0, -4.227894415884072, 4.227870715940082]",1.047197643473371,1.047197643473371,1.0
"[1.0, 2.0916531539784398, 2.0916497414399515]","[1.0, -2.0916531539784398, 2.0916497414399515]",1.0471972671740943,1.0471972671740943,1.0
"[1.0, 2.0916468160659454, 2.091651553627729]","[1.0, -2.0916468160659454, 2.091651553627729]",1.0471976718047262,1.0471976718047262,1.0
"[1.0, 4.227872745950664, 4.227896541044155]","[1.0, -4.227872745950664, 4.227896541044155]",1.047197471559926,1.047197471559926,1.0
"[1.0, 2.0916473953234886, 2.0916504111104093]","[1.0, -2.0916473953234886, 2.0916504111104093]",1.0471976868238322,1.0471976868238322,1.0
"[1.0, 2.0916473946915386, 2.0916503198664804]","[1.0, -2.0916473946915386, 2.0916503198664804]",1.0471977480234773,1.0471977480234773,1.0
"[1.0, 7.144929023961276e-07, -6.87626647231913e-08]","[1.0, -7.144929023961276e-07, -6.87626647231913e-08]",0.785398183693539,0.785398183693539,1.0
"[1.0, 2.091653600893541, 2.0916494682803233]","[1.0, -2.091653600893541, 2.0916494682803233]",1.04719722172843,1.04719722172843,1.0
"[1.0, 4.227894468453506, 4.227870665024954]","[1.0, -4.227894468453506, 4.227870665024954]",1.0471976423776803,1.0471976423776803,1.0
"[1.0, 2.2080176429922204e-06, 1.6964083495286366e-07]","[1.0, -2.2080176429922204e-06, 1.6964083495286366e-07]",0.7853982233448469,0.7853982233448469,1.0
"[1.0, 0.23452109465991697, 0.23452208917607806]","[1.0, -0.23452109465991697, 0.23452208917607806]",5.235986387810276,5.235986387810276,1.0
"[1.0, 1.8876022627582284e-06, -5.643374947562199e-07]","[1.0, -1.8876022627582284e-06, -5.643374947562199e-07]",0.7853982058458604,0.7853982058458604,1.0
"[1.0, 3.5178041010592627, 3.5178201161858826]","[1.0, -3.5178041010592627, 3.5178201161858826]",3.141592597567838,3.141592597567838,1.0
