Initial_Weights,Final_Weights,Runtime_Before,Runtime_After,Fidelity
"[1.0, 1.0000344390756526, 0.001935772840012505]","[1.0, 1.0000344390756526, -0.001935772840012505]",1.1106971720495151,1.1106971720495151,1.0
"[1.0, 1.0002219356364577, -0.0012905883585602723]","[1.0, 1.0002219356364577, 0.0012905883585602723]",1.1108298350274615,1.1108298350274615,1.0
"[1.0, 2.6242509269673953, 1.9853714887982272]","[1.0, 2.6242509269673953, -1.9853714887982272]",2.1956680169076623,2.1956680169076623,1.0
"[1.0, 1.0009717138101157, -2.7429355851316635e-08]","[1.0, 1.0009717138101157, 2.7429355851316635e-08]",5.5508778405297505,5.5508778405297505,1.0
"[1.0, 1.0009502002830568, 1.6793904004424703e-14]","[1.0, 1.0009502002830568, -1.6793904004424703e-14]",3.330750841495224,3.330750841495224,1.0
"[1.0, 1.829148444358107, 1.4737425317508006]","[1.0, 1.829148444358107, -1.4737425317508006]",4.3400008340012945,4.3400008340012945,1.0
"[1.0, 4.192892882448352, 3.049001271259873]","[1.0, 4.192892882448352, -3.049001271259873]",2.2086541609903967,2.2086541609903967,1.0
"[1.0, 4.1929480909012256, 3.0489533667471487]","[1.0, 4.1929480909012256, -3.0489533667471487]",2.2086070848773605,2.2086070848773605,1.0
"[1.0, 1.830959883427219, 1.4753624266747083]","[1.0, 1.830959883427219, -1.4753624266747083]",2.16860045776856,2.16860045776856,1.0
"[1.0, 2.627845301107494, 1.9885721657979]","[1.0, 2.627845301107494, -1.9885721657979]",2.1927582001830594,2.1927582001830594,1.0
"[1.0, 2.6277410154889957, 1.9884972136738521]","[1.0, 2.6277410154889957, -1.9884972136738521]",2.1929393718340053,2.1929393718340053,1.0
"[1.0, 0.9997647201208, 0.0015673722328184557]","[1.0, 0.9997647201208, -0.0015673722328184557]",1.110994000419367,1.110994000419367,1.0
"[1.0, 2.627822042434931, 1.9885360182131813]","[1.0, 2.627822042434931, -1.9885360182131813]",2.1927881197396575,2.1927881197396575,1.0
"[1.0, 0.00034011734912331204, 0.7074218881895901]","[1.0, 0.00034011734912331204, -0.7074218881895901]",1.7096444653134697,1.7096444653134697,1.0
"[1.0, 1.000987315173773, -2.8362686810992633e-45]","[1.0, 1.000987315173773, 2.8362686810992633e-45]",7.771168286913785,7.771168286913785,1.0
"[1.0, 4.963597564830179, 3.5792453987475845]","[1.0, 4.963597564830179, -3.5792453987475845]",2.214890738739644,2.214890738739644,1.0
"[1.0, 2.62785331832412, 1.9885569046582392]","[1.0, 2.62785331832412, -1.9885569046582392]",2.192768447112109,2.192768447112109,1.0
"[1.0, 4.967976934980688, 3.585338055069627]","[1.0, 4.967976934980688, -3.585338055069627]",4.424808301540884,4.424808301540884,1.0
"[1.0, 4.969876411478207, 3.585875332834104]","[1.0, 4.969876411478207, -3.585875332834104]",2.211762418651006,2.211762418651006,1.0
"[1.0, 1.0009653812103414, 1.0061343515112468e-09]","[1.0, 1.0009653812103414, -1.0061343515112468e-09]",3.330465784630251,3.330465784630251,1.0
"[1.0, 4.96356352054975, 3.5792975637523403]","[1.0, 4.96356352054975, -3.5792975637523403]",2.214890710772247,2.214890710772247,1.0
"[1.0, 1.8309634288360177, 1.475353191888617]","[1.0, 1.8309634288360177, -1.475353191888617]",2.16860594844115,2.16860594844115,1.0
"[1.0, 2.6278018338548907, 1.9885308651096887]","[1.0, 2.6278018338548907, -1.9885308651096887]",2.1928071372580495,2.1928071372580495,1.0
"[1.0, 1.0008627742277199, 0.0005145003907915929]","[1.0, 1.0008627742277199, -0.0005145003907915929]",1.1103984066054782,1.1103984066054782,1.0
"[1.0, 7.283184110403857, 5.19675705097068]","[1.0, 7.283184110403857, -5.19675705097068]",2.2192098832064966,2.2192098832064966,1.0
"[1.0, 1.8302292985400037, 1.4746392994204078]","[1.0, 1.8302292985400037, -1.4746392994204078]",2.169838882656337,2.169838882656337,1.0
"[1.0, 2.6278705545696033, 1.9885571646198137]","[1.0, 2.6278705545696033, -1.9885571646198137]",2.1927772146896536,2.1927772146896536,1.0
"[1.0, 4.192940960324041, 3.048968524677211]","[1.0, 4.192940960324041, -3.048968524677211]",2.2086089773508566,2.2086089773508566,1.0
"[1.0, 1.0009119735607037, 0.0002357456093142848]","[1.0, 1.0009119735607037, -0.0002357456093142848]",1.1100883845181815,1.1100883845181815,1.0
"[1.0, 4.969831610031973, 3.585912982978351]","[1.0, 4.969831610031973, -3.585912982978351]",2.211756729603679,2.211756729603679,1.0
"[1.0, 2.627831902512144, 1.9885771026500505]","[1.0, 2.627831902512144, -1.9885771026500505]",2.1927661524431463,2.1927661524431463,1.0
"[1.0, 2.6278466640828175, 1.988585283668031]","[1.0, 2.6278466640828175, -1.988585283668031]",2.192745132164294,2.192745132164294,1.0
"[1.0, 4.963604411395177, 3.5792618433143697]","[1.0, 4.963604411395177, -3.5792618433143697]",2.2148731674317523,2.2148731674317523,1.0
"[1.0, 3.8019468190699297, 2.7813092659323826]","[1.0, 3.8019468190699297, -2.7813092659323826]",4.413936805268617,4.413936805268617,1.0
"[1.0, 2.627867236013247, 1.9885506038679095]","[1.0, 2.627867236013247, -1.9885506038679095]",2.1927578818794995,2.1927578818794995,1.0
"[1.0, 1.8282300300938037, 1.4733329807399502]","[1.0, 1.8282300300938037, -1.4733329807399502]",2.1712552630230997,2.1712552630230997,1.0
"[1.0, 4.187635997842413, 3.0433893597839745]","[1.0, 4.187635997842413, -3.0433893597839745]",2.2117025712120206,2.2117025712120206,1.0
"[1.0, 4.18766260707615, 3.0433933309691596]","[1.0, 4.18766260707615, -3.0433933309691596]",2.211669465270726,2.211669465270726,1.0
"[1.0, 2.62476090981983, 1.985443974956984]","[1.0, 2.62476090981983, -1.985443974956984]",2.1952246154152206,2.1952246154152206,1.0
"[1.0, 4.192899987403349, 3.048966654544207]","[1.0, 4.192899987403349, -3.048966654544207]",2.2086391829537044,2.2086391829537044,1.0
"[1.0, 0.9992965756076045, 0.0010010714820906127]","[1.0, 0.9992965756076045, -0.0010010714820906127]",1.1112639368595665,1.1112639368595665,1.0
"[1.0, 1.0003235966556467, -0.00141072863084168]","[1.0, 1.0003235966556467, 0.00141072863084168]",1.1105442272748378,1.1105442272748378,1.0
"[1.0, 2.627851350521235, 1.988597974767502]","[1.0, 2.627851350521235, -1.988597974767502]",2.1927414477854676,2.1927414477854676,1.0
"[1.0, 1.8307617333150048, 1.4752471087491696]","[1.0, 1.8307617333150048, -1.4752471087491696]",2.1689856486288726,2.1689856486288726,1.0
"[1.0, 0.0007566069124285067, 0.7073001178460532]","[1.0, 0.0007566069124285067, -0.7073001178460532]",1.7099522039856685,1.7099522039856685,1.0
"[1.0, 3.800655753837064, 2.780803214570443]","[1.0, 3.800655753837064, -2.780803214570443]",4.415165374715671,4.415165374715671,1.0
"[1.0, 4.192911968695706, 3.049007996528547]","[1.0, 4.192911968695706, -3.049007996528547]",2.208608830033328,2.208608830033328,1.0
"[1.0, 2.6278430901501117, 1.988582191054409]","[1.0, 2.6278430901501117, -1.988582191054409]",2.1928635378846346,2.1928635378846346,1.0
"[1.0, 4.187619030535397, 3.043427241240014]","[1.0, 4.187619030535397, -3.043427241240014]",2.2116879649699626,2.2116879649699626,1.0
"[1.0, 2.6276605212721034, 1.988422721008519]","[1.0, 2.6276605212721034, -1.988422721008519]",2.1930566783843326,2.1930566783843326,1.0
"[1.0, 1.4735016940658985e-07, 0.7075589882269723]","[1.0, 1.4735016940658985e-07, -0.7075589882269723]",13.678038145180752,13.678038145180752,1.0
"[1.0, 1.0009914889947706, -2.2797208093240782e-18]","[1.0, 1.0009914889947706, 2.2797208093240782e-18]",9.991521077983036,9.991521077983036,1.0
"[1.0, 4.965544674748302, 3.5796951009755573]","[1.0, 4.965544674748302, -3.5796951009755573]",4.428487603668061,4.428487603668061,1.0
"[1.0, 0.999216980214468, -0.00045798760023896024]","[1.0, 0.999216980214468, 0.00045798760023896024]",1.1113885214518773,1.1113885214518773,1.0
"[1.0, 1.000107579498889, 0.0018049811259015604]","[1.0, 1.000107579498889, -0.0018049811259015604]",1.110491242496304,1.110491242496304,1.0
"[1.0, 4.96976729763746, 3.585986010276826]","[1.0, 4.96976729763746, -3.585986010276826]",2.21176664413337,2.21176664413337,1.0
"[1.0, 2.6278293402153237, 1.9885390319835317]","[1.0, 2.6278293402153237, -1.9885390319835317]",2.1928117985825715,2.1928117985825715,1.0
"[1.0, 1.8309310744721032, 1.475336271179575]","[1.0, 1.8309310744721032, -1.475336271179575]",2.168655732308121,2.168655732308121,1.0
