Initial_Weights,Final_Weights,Runtime_Before,Runtime_After,Fidelity
"[1.0, 0.5183657806068626, 1.0]","[-1.0, 0.5183657806068626, -1.0]",2.7924016376726866,2.7924016376726866,1.0
"[1.0, 3.5867425718507477, 1.0]","[-1.0, 3.5867425718507477, -1.0]",3.1429761070134723,3.1429761070134723,1.0
"[1.0, 2.252962753032144, 1.0]","[-1.0, 2.252962753032144, -1.0]",2.19926587368947,2.19926587368947,1.0
"[1.0, 3.585603165556916, 1.0]","[-1.0, 3.585603165556916, -1.0]",3.1429839882840853,3.1429839882840853,1.0
"[1.0, 2.234672396276523, 1.0]","[-1.0, 2.234672396276523, -1.0]",2.066486514784314,2.066486514784314,1.0
"[1.0, 2.275562411444659, 1.0]","[-1.0, 2.275562411444659, -1.0]",2.186028001671965,2.186028001671965,1.0
"[1.0, 1.6006277514937501, 1.0]","[-1.0, 1.6006277514937501, -1.0]",4.766471745445311,4.766471745445311,1.0
"[1.0, 4.542293678515526, 1.0]","[-1.0, 4.542293678515526, -1.0]",3.8581812318907116,3.8581812318907116,1.0
"[1.0, 3.5802084119610558, 1.0]","[-1.0, 3.5802084119610558, -1.0]",3.138545348057395,3.138545348057395,1.0
"[1.0, 4.634118139797988, 1.0]","[-1.0, 4.634118139797988, -1.0]",3.6772727794899276,3.6772727794899276,1.0
"[1.0, 4.634134178305436, 1.0]","[-1.0, 4.634134178305436, -1.0]",3.677745688675308,3.677745688675308,1.0
"[1.0, 2.247150645941996, 1.0]","[-1.0, 2.247150645941996, -1.0]",2.1958447967271195,2.1958447967271195,1.0
"[1.0, -0.5080591250307882, 1.0]","[-1.0, -0.5080591250307882, -1.0]",3.110451633233419,3.110451633233419,1.0
"[1.0, -1.6029751763430686, 1.0]","[-1.0, -1.6029751763430686, -1.0]",4.767494795877029,4.767494795877029,1.0
"[1.0, -3.5814103363960124, 1.0]","[-1.0, -3.5814103363960124, -1.0]",3.1407862901746886,3.1407862901746886,1.0
"[1.0, -5.335714908440518, 1.0]","[-1.0, -5.335714908440518, -1.0]",4.463999400663152,4.463999400663152,1.0
"[1.0, -4.6361565981763535, 1.0]","[-1.0, -4.6361565981763535, -1.0]",3.7659644929267335,3.7659644929267335,1.0
"[1.0, -5.442268098160792, 1.0]","[-1.0, -5.442268098160792, -1.0]",4.282556075888627,4.282556075888627,1.0
"[1.0, -6.148539976891835, 1.0]","[-1.0, -6.148539976891835, -1.0]",4.817213213999996,4.817213213999996,1.0
"[1.0, -6.777658027222193, 1.0]","[-1.0, -6.777658027222193, -1.0]",5.292570013463784,5.292570013463784,1.0
"[1.0, -6.14626957335612, 1.0]","[-1.0, -6.14626957335612, -1.0]",4.814215333793171,4.814215333793171,1.0
"[1.0, -4.543831630246232, 1.0]","[-1.0, -4.543831630246232, -1.0]",3.859267959441071,3.859267959441071,1.0
"[1.0, -1.6006265661509378, 1.0]","[-1.0, -1.6006265661509378, -1.0]",4.777940558018726,4.777940558018726,1.0
