Initial_Weights,Final_Weights,Runtime_Before,Runtime_After,Fidelity,
"[1.0, 2.267793837638138, 1.0]","[-1.0, 2.267793837638138, -1.0]",4.157761123,0.001787291,1,2.079774207
"[1.0, -3.0151501351496615, 1.0]","[-1.0, -3.0151501351496615, -1.0]",0.001334739,5.211036027,1,
"[1.0, -4.129482069041073, 1.0]","[-1.0, -4.129482069041073, -1.0]",1.372154562,5.480320899,1,
"[1.0, -9.434555368612656, 1.0]","[-1.0, -9.434555368612656, -1.0]",7.819802877,7.168304905,1,
"[1.0, -6.404943472324539, 1.0]","[-1.0, -6.404943472324539, -1.0]",7.488977445,2.80697971,1,
"[1.0, -7.001396663092751, 1.0]","[-1.0, -7.001396663092751, -1.0]",3.453733191,7.768246613,1,
"[1.0, -6.084866947276234, 1.0]","[-1.0, -6.084866947276234, -1.0]",4.907089986,4.907089969,1,
"[1.0, -7.811270959239701, 1.0]","[-1.0, -7.811270959239701, -1.0]",6.231892044,6.231892022,1,
"[1.0, -7.550952107151611, 1.0]","[-1.0, -7.550952107151611, -1.0]",5.632620259,6.436988341,1,
"[1.0, -5.003700282270755, 1.0]","[-1.0, -5.003700282270755, -1.0]",2.33453985,5.832582813,1,
"[1.0, -2.7874923860229877, 1.0]","[-1.0, -2.7874923860229877, -1.0]",5.497646452,9.160499889,1,
"[1.0, -0.8090398739504809, 1.0]","[-1.0, -0.8090398739504809, -1.0]",2.906083132,8.730751769,1,8.727626175
"[1.0, -4.587318731844478, 1.0]","[-1.0, -4.587318731844478, -1.0]",2.508466656,5.019557362,1,
"[1.0, -8.063177525314373, 1.0]","[-1.0, -8.063177525314373, -1.0]",5.29625432,7.565230453,1,
"[1.0, -7.811260753584989, 1.0]","[-1.0, -7.811260753584989, -1.0]",8.573633102,3.898201831,1,
"[1.0, -7.2813382290176305, 1.0]","[-1.0, -7.2813382290176305, -1.0]",2.495536299,9.152241701,1,
"[1.0, -4.129482005049983, 1.0]","[-1.0, -4.129482005049983, -1.0]",4.110932154,2.741543393,1,
"[1.0, -5.3881569440237955, 1.0]","[-1.0, -5.3881569440237955, -1.0]",5.468562326,3.282105682,1,
"[1.0, -7.0013964624952045, 1.0]","[-1.0, -7.0013964624952045, -1.0]",4.31663548,6.905343628,1,
"[1.0, -4.129484490098245, 1.0]","[-1.0, -4.129484490098245, -1.0]",4.105399752,2.736011673,1,
"[1.0, -2.2677866979115313, 1.0]","[-1.0, -2.2677866979115313, -1.0]",6.23763707,6.237637069,1,
"[1.0, -3.6147835113836533, 1.0]","[-1.0, -3.6147835113836533, -1.0]",3.044790859,3.044790901,1,
"[1.0, -4.587318639508707, 1.0]","[-1.0, -4.587318639508707, -1.0]",5.019558545,2.50846772,1,
"[1.0, -3.614785400094903, 1.0]","[-1.0, -3.614785400094903, -1.0]",3.038877467,3.038877493,1,
"[1.0, -1.154677213765591, 1.0]","[-1.0, -1.154677213765591, -1.0]",2.722600387,0.00189442,1,
"[1.0, -3.6147854008875986, 1.0]","[-1.0, -3.6147854008875986, -1.0]",3.038877108,3.038877179,1,
"[1.0, -5.388161312159161, 1.0]","[-1.0, -5.388161312159161, -1.0]",5.463716889,3.277261779,1,
"[1.0, -5.74704636343129, 1.0]","[-1.0, -5.74704636343129, -1.0]",4.132548159,5.165099321,1,
