Initial_Weights,Final_Weights,Runtime_Before,Runtime_After,Fidelity
"[1.0, 0.5163978486429714, 1.0]","[-1.0, 0.5163978486429714, -1.0]",3.034013228523163,3.034013228523163,1.0
"[1.0, 0.5163977094044778, 1.0]","[-1.0, 0.5163977094044778, -1.0]",3.0496540832129004,3.0496540832129004,1.0
"[1.0, 0.5163978486798952, 1.0]","[-1.0, 0.5163978486798952, -1.0]",3.0340088871542013,3.0340088871542013,1.0
"[1.0, -2.267786416973007, 1.0]","[-1.0, -2.267786416973007, -1.0]",2.0816990817045444,2.0816990817045444,1.0
"[1.0, -2.267787258199, 1.0]","[-1.0, -2.267787258199, -1.0]",2.0742358615118826,2.0742358615118826,1.0
"[1.0, -2.2677864161588586, 1.0]","[-1.0, -2.2677864161588586, -1.0]",2.0817010449621507,2.0817010449621507,1.0
"[1.0, -0.5163973327358463, 1.0]","[-1.0, -0.5163973327358463, -1.0]",3.044563193311964,3.044563193311964,1.0
"[1.0, -0.5163978486459277, 1.0]","[-1.0, -0.5163978486459277, -1.0]",3.0340132299676204,3.0340132299676204,1.0
"[1.0, 0.5163977098669457, 1.0]","[-1.0, 0.5163977098669457, -1.0]",3.049654701437293,3.049654701437293,1.0
"[1.0, -2.267787257589282, 1.0]","[-1.0, -2.267787257589282, -1.0]",2.074246025627408,2.074246025627408,1.0
"[1.0, -4.587318653298133, 1.0]","[-1.0, -4.587318653298133, -1.0]",3.7640124551195533,3.7640124551195533,1.0
"[1.0, -3.614785401654898, 1.0]","[-1.0, -3.614785401654898, -1.0]",3.038877720184517,3.038877720184517,1.0
"[1.0, -2.267786417033427, 1.0]","[-1.0, -2.267786417033427, -1.0]",2.081701089576874,2.081701089576874,1.0
"[1.0, 0.5163977098401746, 1.0]","[-1.0, 0.5163977098401746, -1.0]",3.0496552410350652,3.0496552410350652,1.0
"[1.0, 0.5163977098506684, 1.0]","[-1.0, 0.5163977098506684, -1.0]",3.0496553548765415,3.0496553548765415,1.0
"[1.0, 2.2677864162435357, 1.0]","[-1.0, 2.2677864162435357, -1.0]",2.0817011405200856,2.0817011405200856,1.0
"[1.0, 0.5163977099506141, 1.0]","[-1.0, 0.5163977099506141, -1.0]",3.0496504333789387,3.0496504333789387,1.0
"[1.0, 0.516397622047228, 1.0]","[-1.0, 0.516397622047228, -1.0]",3.0496546594109053,3.0496546594109053,1.0
"[1.0, 0.5164051241638927, 1.0]","[-1.0, 0.5164051241638927, -1.0]",3.038557684910187,3.038557684910187,1.0
"[1.0, 0.5163977097957154, 1.0]","[-1.0, 0.5163977097957154, -1.0]",3.049656163350433,3.049656163350433,1.0
"[1.0, 0.516397709874322, 1.0]","[-1.0, 0.516397709874322, -1.0]",3.049653043106525,3.049653043106525,1.0
"[1.0, 2.2677872585089562, 1.0]","[-1.0, 2.2677872585089562, -1.0]",2.0742356524309034,2.0742356524309034,1.0
"[1.0, 3.614820251255397, 1.0]","[-1.0, 3.614820251255397, -1.0]",3.040144150179044,3.040144150179044,1.0
