Initial_Weights,Final_Weights,Runtime_Before,Runtime_After,Fidelity
"[1.0, -1.9246506423679628e-05, 3.701303261299819e-05]","[1.0, -1.9246506423679628e-05, -3.701303261299819e-05]",0.785397245,0.785397245,1
"[1.0, 2.0916222079639333, 2.0917650639286895]","[1.0, 2.0916222079639333, -2.0917650639286895]",1.047188304,1.047188304,1
"[1.0, 6.354652100149698, 6.353564764418467]","[1.0, 6.354652100149698, -6.353564764418467]",1.047184344,1.047184344,1
"[1.0, 2.0915885447102456, 2.0917133103361394]","[1.0, 2.0915885447102456, -2.0917133103361394]",1.047205448,1.047205448,1
"[1.0, 2.091714716567928, 2.091654318948736]","[1.0, 2.091714716567928, -2.091654318948736]",1.04718205,1.04718205,1
"[1.0, 4.227476880793394, 4.228229063704388]","[1.0, 4.227476880793394, -4.228229063704388]",1.04719977,1.04719977,1
"[1.0, 2.0915979771856565, 2.0916144885245664]","[1.0, 2.0915979771856565, -2.0916144885245664]",1.047212189,1.047212189,1
"[1.0, 2.091631891214527, 2.0917565083248255]","[1.0, 2.091631891214527, -2.0917565083248255]",1.047187994,1.047187994,1
"[1.0, -4.777671838066392e-13, 5.137189826178042e-05]","[1.0, -4.777671838066392e-13, -5.137189826178042e-05]",5.497771482,5.497771482,1
"[1.0, 4.22802044761784, 4.227780523588495]","[1.0, 4.22802044761784, -4.227780523588495]",1.047240694,1.047240694,1
"[1.0, 5.645992446064352, 5.6455871404241025]","[1.0, 5.645992446064352, -5.6455871404241025]",3.141600289,3.141600289,1
"[1.0, 2.0916551839929722, 2.0917139104969262]","[1.0, 2.0916551839929722, -2.0917139104969262]",1.047197528,1.047197528,1
"[1.0, 6.353281644458203, 6.355039114245148]","[1.0, 6.353281644458203, -6.355039114245148]",1.047196475,1.047196475,1
"[1.0, -2.009932498836023e-05, -4.296308652193164e-05]","[1.0, -2.009932498836023e-05, 4.296308652193164e-05]",0.78539006,0.78539006,1
"[1.0, 2.0916355495268304, 2.091765021044583]","[1.0, 2.0916355495268304, -2.091765021044583]",1.047187744,1.047187744,1
"[1.0, 2.091606303726157, 2.091742885326497]","[1.0, 2.091606303726157, -2.091742885326497]",1.047197073,1.047197073,1
"[1.0, 4.228293100394529, 4.227540779243019]","[1.0, 4.228293100394529, -4.227540779243019]",1.047194736,1.047194736,1
"[1.0, 4.936572879994427, 4.937616504446193]","[1.0, 4.936572879994427, -4.937616504446193]",3.141594263,3.141594263,1
"[1.0, 6.354887092970614, 6.353347699963602]","[1.0, 6.354887092970614, -6.353347699963602]",1.047226365,1.047226365,1
"[1.0, 4.227473577051995, 4.228224521085891]","[1.0, 4.227473577051995, -4.228224521085891]",1.047200663,1.047200663,1
"[1.0, 6.353280912973701, 6.3550399910472795]","[1.0, 6.353280912973701, -6.3550399910472795]",1.047196466,1.047196466,1
"[1.0, 2.091599118973231, 2.091725294842472]","[1.0, 2.091599118973231, -2.091725294842472]",1.047197539,1.047197539,1
"[1.0, 4.937635696783452, 4.936592222434686]","[1.0, 4.937635696783452, -4.936592222434686]",3.141591124,3.141591124,1
"[1.0, 3.5175485720728172, 3.5180556390326996]","[1.0, 3.5175485720728172, -3.5180556390326996]",3.141594877,3.141594877,1
"[1.0, 2.806098880246468, 2.8064051914074706]","[1.0, 2.806098880246468, -2.8064051914074706]",3.141590594,3.141590594,1
"[1.0, 2.091672179575896, 2.091535388727889]","[1.0, 2.091672179575896, -2.091535388727889]",1.047209086,1.047209086,1
"[1.0, -4.372033750374366e-46, 7.369828655258687e-05]","[1.0, -4.372033750374366e-46, -7.369828655258687e-05]",11.78097478,11.78097478,1
"[1.0, 2.0916903676200573, 2.0915405633767237]","[1.0, 2.0916903676200573, -2.0915405633767237]",1.047203062,1.047203062,1
"[1.0, 2.806100045467738, 2.80640616405216]","[1.0, 2.806100045467738, -2.80640616405216]",3.141589593,3.141589593,1
"[1.0, 2.0916334245443022, 2.0917627863974544]","[1.0, 2.0916334245443022, -2.0917627863974544]",1.047187162,1.047187162,1
"[1.0, 6.348326447843747e-06, 7.17948550391617e-05]","[1.0, 6.348326447843747e-06, -7.17948550391617e-05]",0.785397095,0.785397095,1
"[1.0, 3.5180745381050205, 3.5175670479943024]","[1.0, 3.5180745381050205, -3.5175670479943024]",3.141591012,3.141591012,1
"[1.0, 6.354492503374017, 6.353735500657677]","[1.0, 6.354492503374017, -6.353735500657677]",1.047184672,1.047184672,1
"[1.0, 2.8063865099176084, 2.8060799882098184]","[1.0, 2.8063865099176084, -2.8060799882098184]",3.141595459,3.141595459,1
"[1.0, 2.0916385920024214, 2.09175812891515]","[1.0, 2.0916385920024214, -2.09175812891515]",1.04718653,1.04718653,1
"[1.0, 2.0916875486102104, 2.091539527308255]","[1.0, 2.0916875486102104, -2.091539527308255]",1.047203793,1.047203793,1
"[1.0, 2.0916187233872887, 2.0917583553462307]","[1.0, 2.0916187233872887, -2.0917583553462307]",1.047190194,1.047190194,1
"[1.0, 2.584700365942896e-05, 2.8059064698431905e-05]","[1.0, 2.584700365942896e-05, -2.8059064698431905e-05]",0.785401867,0.785401867,1
"[1.0, 2.8061002405914595, 2.806403848935212]","[1.0, 2.8061002405914595, -2.806403848935212]",3.141590531,3.141590531,1
"[1.0, 4.228293335694807, 4.227539700146725]","[1.0, 4.228293335694807, -4.227539700146725]",1.047194834,1.047194834,1
"[1.0, 0.23456067496524266, 0.23453102911199905]","[1.0, 0.23456067496524266, -0.23453102911199905]",5.235942398,5.235942398,1
"[1.0, 6.353282641662073, 6.3550395295249835]","[1.0, 6.353282641662073, -6.3550395295249835]",1.047196362,1.047196362,1
"[1.0, 0.6123712983024239, 0.6123554809146774]","[1.0, 0.6123712983024239, -0.6123554809146774]",3.141598508,3.141598508,1
"[1.0, 2.0916261312317057, 2.0917645540350995]","[1.0, 2.0916261312317057, -2.0917645540350995]",1.047187597,1.047187597,1
"[1.0, 6.715698670766081e-06, -6.155732393191645e-05]","[1.0, 6.715698670766081e-06, 6.155732393191645e-05]",0.785392075,0.785392075,1
"[1.0, 2.091630743699424, 2.091765983691194]","[1.0, 2.091630743699424, -2.091765983691194]",1.047186214,1.047186214,1
"[1.0, 2.0916287252046417, 2.0917644334694723]","[1.0, 2.0916287252046417, -2.0917644334694723]",1.047186949,1.047186949,1
"[1.0, 2.091631548138091, 2.091765382941005]","[1.0, 2.091631548138091, -2.091765382941005]",1.047186196,1.047186196,1
"[1.0, 3.7337416621391045e-06, -7.188834452686601e-05]","[1.0, 3.7337416621391045e-06, 7.188834452686601e-05]",0.785398465,0.785398465,1
"[1.0, 2.091633236727463, 2.091761673449021]","[1.0, 2.091633236727463, -2.091761673449021]",1.047187519,1.047187519,1
"[1.0, 6.354131968124483, 6.354198190495057]","[1.0, 6.354131968124483, -6.354198190495057]",1.047242417,1.047242417,1
"[1.0, 4.227482565523899, 4.228235522699313]","[1.0, 4.227482565523899, -4.228235522699313]",1.04719839,1.04719839,1
"[1.0, 2.0916420311643376, 2.0917186380313533]","[1.0, 2.0916420311643376, -2.0917186380313533]",1.047193332,1.047193332,1
"[1.0, 2.091630845675525, 2.0917649679916703]","[1.0, 2.091630845675525, -2.0917649679916703]",1.04718649,1.04718649,1
"[1.0, 0.1541809129500703, -0.1541509247798399]","[1.0, 0.1541809129500703, 0.1541509247798399]",11.51910617,11.51910617,1
