Initial_Weights,Final_Weights,Runtime_Before,Runtime_After,Fidelity
"[1.0, 1.0021172879590545, 2.0344528033992964]","[1.0, -1.0021172879590545, 2.0344528033992964]",3.6034369052760318,3.6034369052760318,1.0
"[1.0, 0.998937181587144, 1.6334064575656646]","[1.0, -0.998937181587144, 1.6334064575656646]",1.9259105307151156,1.9259105307151156,1.0
"[1.0, 1.0052017187274245, 4.289487685336385]","[1.0, -1.0052017187274245, 4.289487685336385]",1.220987689444177,1.220987689444177,1.0
"[1.0, 2.412574327238275, 0.00025963684809312946]","[1.0, -2.412574327238275, 0.00025963684809312946]",1.202665735262451,1.202665735262451,1.0
"[1.0, 1.0050999179219067, 4.288886454761456]","[1.0, -1.0050999179219067, 4.288886454761456]",1.2207986544087417,1.2207986544087417,1.0
"[1.0, 0.9997946203366733, 0.7303856326963617]","[1.0, -0.9997946203366733, 0.7303856326963617]",4.301921103362958,4.301921103362958,1.0
"[1.0, 1.0037669195416075, 3.2119443977507407]","[1.0, -1.0037669195416075, 3.2119443977507407]",2.9341963180373996,2.9341963180373996,1.0
"[1.0, 2.415685615294851, 0.00047637614422987016]","[1.0, -2.415685615294851, 0.00047637614422987016]",1.201489014732061,1.201489014732061,1.0
"[1.0, 1.0037796575743818, 3.2119553838913144]","[1.0, -1.0037796575743818, 3.2119553838913144]",2.934183675761872,2.934183675761872,1.0
"[1.0, 2.4127343385392965, -0.00010459443778237037]","[1.0, -2.4127343385392965, -0.00010459443778237037]",1.2028252686488785,1.2028252686488785,1.0
"[1.0, 1.0021041377915794, 2.034435614930914]","[1.0, -1.0021041377915794, 2.034435614930914]",3.6034969162629245,3.6034969162629245,1.0
"[1.0, 1.005619184077866, 0.23725339440280332]","[1.0, -1.005619184077866, 0.23725339440280332]",4.4143001516968745,4.4143001516968745,1.0
"[1.0, 2.415333534548247, 0.000447473481856174]","[1.0, -2.415333534548247, 0.000447473481856174]",1.201978437356629,1.201978437356629,1.0
"[1.0, 1.0025583612794904, 2.268014307841759]","[1.0, -1.0025583612794904, 2.268014307841759]",6.926153550356642,6.926153550356642,1.0
"[1.0, 2.4152133042031587, 4.361924866074992e-05]","[1.0, -2.4152133042031587, 4.361924866074992e-05]",3.606033846611323,3.606033846611323,1.0
"[1.0, 1.003465182811621, 2.842484415073318]","[1.0, -1.003465182811621, 2.842484415073318]",6.262790733109741,6.262790733109741,1.0
"[1.0, 1.0013260435724123, 1.633105602616193]","[1.0, -1.0013260435724123, 1.633105602616193]",1.923393357199249,1.923393357199249,1.0
"[1.0, 1.0052187263022874, 4.289519170744557]","[1.0, -1.0052187263022874, 4.289519170744557]",1.2209722848262186,1.2209722848262186,1.0
"[1.0, 2.41260238208113, 0.00026887479053667237]","[1.0, -2.41260238208113, 0.00026887479053667237]",1.2028951310393883,1.2028951310393883,1.0
"[1.0, 1.0014120470873804, 1.6345604910128058]","[1.0, -1.0014120470873804, 1.6345604910128058]",5.766260155759093,5.766260155759093,1.0
"[1.0, 1.0037370071601865, 3.211962578623898]","[1.0, -1.0037370071601865, 3.211962578623898]",2.934182829295981,2.934182829295981,1.0
"[1.0, 2.413702505026343, 0.00110049245068436]","[1.0, -2.413702505026343, 0.00110049245068436]",1.2023059672990424,1.2023059672990424,1.0
"[1.0, 2.412785958907315, 0.0004898853947982248]","[1.0, -2.412785958907315, 0.0004898853947982248]",1.2027812651305148,1.2027812651305148,1.0
"[1.0, 2.413350482571376, 6.507692135320307e-06]","[1.0, -2.413350482571376, 6.507692135320307e-06]",1.2025406505297664,1.2025406505297664,1.0
"[1.0, 2.413815592347671, 0.0008689916178094517]","[1.0, -2.413815592347671, 0.0008689916178094517]",1.2028275770694792,1.2028275770694792,1.0
"[1.0, 2.4156354051591893, -0.00016361136310514077]","[1.0, -2.4156354051591893, -0.00016361136310514077]",1.2020989852849127,1.2020989852849127,1.0
"[1.0, 1.0036565880400419, 2.96026170890813]","[1.0, -1.0036565880400419, 2.96026170890813]",4.599066748564651,4.599066748564651,1.0
"[1.0, 1.0037469018790128, 3.2119440368744954]","[1.0, -1.0037469018790128, 3.2119440368744954]",2.934197436087776,2.934197436087776,1.0
"[1.0, 1.0036510445990103, 2.960250953002977]","[1.0, -1.0036510445990103, 2.960250953002977]",4.59908285643384,4.59908285643384,1.0
"[1.0, 1.0037416437309794, 3.2119631328098173]","[1.0, -1.0037416437309794, 3.2119631328098173]",2.9341839984886793,2.9341839984886793,1.0
"[1.0, 1.0036553223573585, 2.9602589508227313]","[1.0, -1.0036553223573585, 2.9602589508227313]",4.599070989648791,4.599070989648791,1.0
"[1.0, 2.4146891476039745, 0.00063417589819538]","[1.0, -2.4146891476039745, 0.00063417589819538]",1.202501791429952,1.202501791429952,1.0
"[1.0, 0.4142593300588624, 0.001352504612767803]","[1.0, -0.4142593300588624, 0.001352504612767803]",2.9023003442612794,2.9023003442612794,1.0
"[1.0, 2.4145284141252796, -0.001048488439010472]","[1.0, -2.4145284141252796, -0.001048488439010472]",1.2025315248429593,1.2025315248429593,1.0
"[1.0, 2.413128341509603, -0.000845087519752562]","[1.0, -2.413128341509603, -0.000845087519752562]",3.607412032757634,3.607412032757634,1.0
