Initial_Weights,Final_Weights,Runtime_Before,Runtime_After,Fidelity
"[1.0843083994754754, 2.1686167639337746, 1.0843083994754754]","[1.0843083994754754, -2.1686167639337746, 1.0843083994754754]",5.121793505954538,5.121793505954538,1.0
"[0.6897164656436664, 1.3794329459509775, 0.6897164656436664]","[0.6897164656436664, -1.3794329459509775, 0.6897164656436664]",4.831205791383368,4.831205791383368,1.0
"[-1.3895530128026528, 2.7791059428193137, -1.3895530128026528]","[-1.3895530128026528, -2.7791059428193137, -1.3895530128026528]",3.9966836128181398,3.9966836128181398,1.0
"[0.2338327202458281, 0.46766544595211784, 0.2338327202458281]","[0.2338327202458281, -0.46766544595211784, 0.2338327202458281]",4.750065493099619,4.750065493099619,1.0
"[0.27331551819512606, 0.5466310345704185, 0.27331551819512606]","[0.27331551819512606, -0.5466310345704185, 0.27331551819512606]",4.0638773054375115,4.0638773054375115,1.0
"[0.2522949514936582, -0.504589901952044, 0.2522949514936582]","[0.2522949514936582, 0.504589901952044, 0.2522949514936582]",4.402469171536019,4.402469171536019,1.0
"[1.9693857710024876, -3.9387714243040475, 1.9693857710024876]","[1.9693857710024876, 3.9387714243040475, 1.9693857710024876]",3.9479544194349514,3.9479544194349514,1.0
"[-1.9850387489792234, -3.9700776109006033, -1.9850387489792234]","[-1.9850387489792234, 3.9700776109006033, -1.9850387489792234]",2.7977305712125404,2.7977305712125404,1.0
"[-3.0823235088211183, -6.164647160945093, -3.0823235088211183]","[-3.0823235088211183, 6.164647160945093, -3.0823235088211183]",1.801758832871854,1.801758832871854,1.0
"[-3.5251368227982245, -7.050273484955631, -3.5251368227982245]","[-3.5251368227982245, 7.050273484955631, -3.5251368227982245]",0.9452575628653005,0.9452575628653005,1.0
"[-2.9099845872242205, -5.819968986705527, -2.9099845872242205]","[-2.9099845872242205, 5.819968986705527, -2.9099845872242205]",5.725395028904629,5.725395028904629,1.0
"[-2.8487077049510456, -5.697415559808904, -2.8487077049510456]","[-2.8487077049510456, 5.697415559808904, -2.8487077049510456]",4.288937013846926,4.288937013846926,1.0
"[-2.298755254162121, -4.597510647066342, -2.298755254162121]","[-2.298755254162121, 4.597510647066342, -2.298755254162121]",4.348651924446379,4.348651924446379,1.0
"[-2.7353988224314008, -5.470797494870537, -2.7353988224314008]","[-2.7353988224314008, 5.470797494870537, -2.7353988224314008]",5.278707305581142,5.278707305581142,1.0
"[-3.2301672499839933, -6.460334843810594, -3.2301672499839933]","[-3.2301672499839933, 6.460334843810594, -3.2301672499839933]",5.845595760899278,5.845595760899278,1.0
"[-3.3465736836845683, -6.693147572383774, -3.3465736836845683]","[-3.3465736836845683, 6.693147572383774, -3.3465736836845683]",6.30605975739064,6.30605975739064,1.0
"[-2.4484965511612513, -4.896992847846434, -2.4484965511612513]","[-2.4484965511612513, 4.896992847846434, -2.4484965511612513]",5.897239233471425,5.897239233471425,1.0
"[-3.5711546058805133, -7.142308978900544, -3.5711546058805133]","[-3.5711546058805133, 7.142308978900544, -3.5711546058805133]",6.531539062454824,6.531539062454824,1.0
"[-3.5508677075770967, -7.101735164475058, -3.5508677075770967]","[-3.5508677075770967, 7.101735164475058, -3.5508677075770967]",2.189618403028268,2.189618403028268,1.0
"[-2.3936326255795475, -4.787265134360777, -2.3936326255795475]","[-2.3936326255795475, 4.787265134360777, -2.3936326255795475]",1.3920942622294903,1.3920942622294903,1.0
"[-2.2415421549332737, -4.483084291198164, -2.2415421549332737]","[-2.2415421549332737, 4.483084291198164, -2.2415421549332737]",0.4955163259232119,0.4955163259232119,1.0
"[-1.9108697844688485, -3.8217396220684665, -1.9108697844688485]","[-1.9108697844688485, 3.8217396220684665, -1.9108697844688485]",0.5812644762093849,0.5812644762093849,1.0
"[-1.9153708957839917, -3.830741679445922, -1.9153708957839917]","[-1.9153708957839917, 3.830741679445922, -1.9153708957839917]",0.5798985227387422,0.5798985227387422,1.0
"[1.8923005361426783, -3.7846011201206813, 1.8923005361426783]","[1.8923005361426783, 3.7846011201206813, 1.8923005361426783]",1.760905370725739,1.760905370725739,1.0
"[-0.8105087865012524, -1.6210175389758632, -0.8105087865012524]","[-0.8105087865012524, 1.6210175389758632, -0.8105087865012524]",1.3703993886351646,1.3703993886351646,1.0
"[1.9786376159912902, -3.957275096359561, 1.9786376159912902]","[1.9786376159912902, 3.957275096359561, 1.9786376159912902]",3.9294943209336393,3.9294943209336393,1.0
"[2.634934367347672, -5.269868560193044, 2.634934367347672]","[2.634934367347672, 5.269868560193044, 2.634934367347672]",5.479973227281366,5.479973227281366,1.0
"[3.5546216685889007, -7.10924349208193, 3.5546216685889007]","[3.5546216685889007, 7.10924349208193, 3.5546216685889007]",0.31247227580719406,0.31247227580719406,1.0
"[1.9415186696299749, -3.8830372696026805, 1.9415186696299749]","[1.9415186696299749, 3.8830372696026805, 1.9415186696299749]",0.5720886330585137,0.5720886330585137,1.0
"[2.4070433272951797, -4.81408657710231, 2.4070433272951797]","[2.4070433272951797, 4.81408657710231, 2.4070433272951797]",1.384338279948661,1.384338279948661,1.0
"[-2.1594809771919605, -4.318961916565467, -2.1594809771919605]","[-2.1594809771919605, 4.318961916565467, -2.1594809771919605]",1.5430384698293689,1.5430384698293689,1.0
"[-2.4273502456354237, -4.854700614356457, -2.4273502456354237]","[-2.4273502456354237, 4.854700614356457, -2.4273502456354237]",1.3727570493697587,1.3727570493697587,1.0
"[-3.2325758070109285, -6.465151408567782, -3.2325758070109285]","[-3.2325758070109285, 6.465151408567782, -3.2325758070109285]",1.7180119177514903,1.7180119177514903,1.0
"[-2.503160917576692, -5.006321938959977, -2.503160917576692]","[-2.503160917576692, 5.006321938959977, -2.503160917576692]",1.331181767529502,1.331181767529502,1.0
"[-3.111433049385913, -6.222865906247034, -3.111433049385913]","[-3.111433049385913, 6.222865906247034, -3.111433049385913]",1.7849022205045761,1.7849022205045761,1.0
"[-3.684201633783476, -7.368403044380173, -3.684201633783476]","[-3.684201633783476, 7.368403044380173, -3.684201633783476]",3.31630281935957,3.31630281935957,1.0
"[-2.140923923183212, -4.2818478175598536, -2.140923923183212]","[-2.140923923183212, 4.2818478175598536, -2.140923923183212]",3.6316307570665116,3.6316307570665116,1.0
"[-2.364409488369503, -4.728819062635031, -2.364409488369503]","[-2.364409488369503, 4.728819062635031, -2.364409488369503]",4.2278998490237365,4.2278998490237365,1.0
"[-3.1077607754422116, -6.215521364804128, -3.1077607754422116]","[-3.1077607754422116, 6.215521364804128, -3.1077607754422116]",4.64622949088327,4.64622949088327,1.0
"[-3.389342812498489, -6.778685815674912, -3.389342812498489]","[-3.389342812498489, 6.778685815674912, -3.389342812498489]",2.9493878378969725,2.9493878378969725,1.0
"[-3.3925742130523844, -6.7851486400607355, -3.3925742130523844]","[-3.3925742130523844, 6.7851486400607355, -3.3925742130523844]",3.6013738002748874,3.6013738002748874,1.0
"[-1.826511011905878, -3.6530221201503594, -1.826511011905878]","[-1.826511011905878, 3.6530221201503594, -1.826511011905878]",4.256774246186445,4.256774246186445,1.0
"[1.4787143837554564, -2.9574286967059678, 1.4787143837554564]","[1.4787143837554564, 2.9574286967059678, 1.4787143837554564]",3.755697376609303,3.755697376609303,1.0
"[2.6148706761442413, -5.229741132447278, 2.6148706761442413]","[2.6148706761442413, 5.229741132447278, 2.6148706761442413]",6.371562281191987,6.371562281191987,1.0
"[4.0430224802957015, -8.086044643663048, 4.0430224802957015]","[4.0430224802957015, 8.086044643663048, 4.0430224802957015]",1.9230774333793472,1.9230774333793472,1.0
"[4.160283241953038, -8.320566717541327, 4.160283241953038]","[4.160283241953038, 8.320566717541327, 4.160283241953038]",2.9368019428037453,2.9368019428037453,1.0
"[2.709349134665032, -5.418698410664335, 2.709349134665032]","[2.709349134665032, 5.418698410664335, 2.709349134665032]",2.0497925235796166,2.0497925235796166,1.0
"[3.102149324965201, -6.204298445939536, 3.102149324965201]","[3.102149324965201, 6.204298445939536, 3.102149324965201]",3.222438937807095,3.222438937807095,1.0
"[3.536318447964695, -7.072637265841431, 3.536318447964695]","[3.536318447964695, 7.072637265841431, 3.536318447964695]",2.826806040094985,2.826806040094985,1.0
"[2.586855138006738, -5.173710125337638, 2.586855138006738]","[2.586855138006738, 5.173710125337638, 2.586855138006738]",3.8643396028310733,3.8643396028310733,1.0
"[3.038373652885387, -6.076747571321487, 3.038373652885387]","[3.038373652885387, 6.076747571321487, 3.038373652885387]",3.290078026502533,3.290078026502533,1.0
"[4.900383318368345, -9.80076634082456, 4.900383318368345]","[4.900383318368345, 9.80076634082456, 4.900383318368345]",1.133299865723846,1.133299865723846,1.0
"[5.4485854948227015, -10.897171350125486, 5.4485854948227015]","[5.4485854948227015, 10.897171350125486, 5.4485854948227015]",1.0192743760609437,1.0192743760609437,1.0
"[5.951713530000088, -11.903427598613838, 5.951713530000088]","[5.951713530000088, 11.903427598613838, 5.951713530000088]",1.3063540316820632,1.3063540316820632,1.0
"[4.434987424271126, -8.869975190210722, 4.434987424271126]","[4.434987424271126, 8.869975190210722, 4.434987424271126]",0.7513351945242961,0.7513351945242961,1.0
