Initial_Weights,Final_Weights,Runtime_Before,Runtime_After,Fidelity
"[1.0, 0.809039874164738, 1.0]","[-1.0, 0.809039874164738, -1.0]",5.818418956092235,5.818418956092235,1.0
"[1.0, 0.8090386679103602, 1.0]","[-1.0, 0.8090386679103602, -1.0]",5.8244301245435475,5.8244301245435475,1.0
"[1.0, 0.5163977098650288, 1.0]","[-1.0, 0.5163977098650288, -1.0]",3.0496556458557302,3.0496556458557302,1.0
"[1.0, -2.267787258124834, 1.0]","[-1.0, -2.267787258124834, -1.0]",2.074235333594954,2.074235333594954,1.0
"[1.0, -0.5163977561137374, 1.0]","[-1.0, -0.5163977561137374, -1.0]",9.13332468262613,9.13332468262613,1.0
"[1.0, 0.5163978486654514, 1.0]","[-1.0, 0.5163978486654514, -1.0]",3.0340116224347313,3.0340116224347313,1.0
"[1.0, -2.267786417083244, 1.0]","[-1.0, -2.267786417083244, -1.0]",2.081700847488987,2.081700847488987,1.0
"[1.0, -3.614785402282355, 1.0]","[-1.0, -3.614785402282355, -1.0]",3.038878085677721,3.038878085677721,1.0
"[1.0, -0.5164075005904223, 1.0]","[-1.0, -0.5164075005904223, -1.0]",3.041234852656519,3.041234852656519,1.0
"[1.0, 0.5163955859171393, 1.0]","[-1.0, 0.5163955859171393, -1.0]",9.122026890421289,9.122026890421289,1.0
"[1.0, 0.25197635555554565, 1.0]","[-1.0, 0.25197635555554565, -1.0]",6.222707304511231,6.222707304511231,1.0
"[1.0, -1.6012814463605203, 1.0]","[-1.0, -1.6012814463605203, -1.0]",4.909252166593305,4.909252166593305,1.0
"[1.0, -0.2519763555275555, 1.0]","[-1.0, -0.2519763555275555, -1.0]",6.222707536540277,6.222707536540277,1.0
"[1.0, 0.16724843366067466, 1.0]","[-1.0, 0.16724843366067466, -1.0]",9.378249981741153,9.378249981741153,1.0
"[1.0, -0.5163977098892462, 1.0]","[-1.0, -0.5163977098892462, -1.0]",3.049655236934006,3.049655236934006,1.0
"[1.0, 3.9652583074360974, 1.0]","[-1.0, 3.9652583074360974, -1.0]",9.900671203241503,9.900671203241503,1.0
"[1.0, 7.81127097891731, 1.0]","[-1.0, 7.81127097891731, -1.0]",6.231891388008478,6.231891388008478,1.0
"[1.0, 6.084872739875749, 1.0]","[-1.0, 6.084872739875749, -1.0]",4.902530394862474,4.902530394862474,1.0
"[1.0, 4.587345143460048, 1.0]","[-1.0, 4.587345143460048, -1.0]",3.767587832981456,3.767587832981456,1.0
"[1.0, 5.388161262251575, 1.0]","[-1.0, 5.388161262251575, -1.0]",4.370490101172096,4.370490101172096,1.0
"[1.0, 2.267787258270171, 1.0]","[-1.0, 2.267787258270171, -1.0]",2.074235224893697,2.074235224893697,1.0
"[1.0, 2.267775835314753, 1.0]","[-1.0, 2.267775835314753, -1.0]",2.0756072842648576,2.0756072842648576,1.0
"[1.0, -0.8090398741444761, 1.0]","[-1.0, -0.8090398741444761, -1.0]",5.818420126557573,5.818420126557573,1.0
"[1.0, -4.587318654699297, 1.0]","[-1.0, -4.587318654699297, -1.0]",3.764011969198111,3.764011969198111,1.0
"[1.0, -4.5873186572099325, 1.0]","[-1.0, -4.5873186572099325, -1.0]",3.7640135178288414,3.7640135178288414,1.0
"[1.0, -6.709793237392034, 1.0]","[-1.0, -6.709793237392034, -1.0]",5.38224761884703,5.38224761884703,1.0
"[1.0, -9.644230191589418, 1.0]","[-1.0, -9.644230191589418, -1.0]",7.653361318927978,7.653361318927978,1.0
"[1.0, -9.220175551480535, 1.0]","[-1.0, -9.220175551480535, -1.0]",7.323852643285895,7.323852643285895,1.0
"[1.0, -6.709793238127481, 1.0]","[-1.0, -6.709793238127481, -1.0]",5.382247074483849,5.382247074483849,1.0
"[1.0, -3.6147854023235837, 1.0]","[-1.0, -3.6147854023235837, -1.0]",3.0388773814485965,3.0388773814485965,1.0
"[1.0, -3.6147841418523385, 1.0]","[-1.0, -3.6147841418523385, -1.0]",9.128458642811049,9.128458642811049,1.0
"[1.0, -7.811218900466319, 1.0]","[-1.0, -7.811218900466319, -1.0]",6.235755066526633,6.235755066526633,1.0
"[1.0, -8.775678756720122, 1.0]","[-1.0, -8.775678756720122, -1.0]",6.982671079087341,6.982671079087341,1.0
"[1.0, -6.084866925228957, 1.0]","[-1.0, -6.084866925228957, -1.0]",4.907089391144463,4.907089391144463,1.0
"[1.0, -6.709785918264255, 1.0]","[-1.0, -6.709785918264255, -1.0]",5.386588214244549,5.386588214244549,1.0
"[1.0, -6.709793242980469, 1.0]","[-1.0, -6.709793242980469, -1.0]",5.38224718029218,5.38224718029218,1.0
"[1.0, -8.775692480914591, 1.0]","[-1.0, -8.775692480914591, -1.0]",6.978872379415104,6.978872379415104,1.0
